"What would be finished by a ""Dear John"" letter?",Romantic relationship,Property lease,Employment,Education,A,,
What would you be most likely to do with a joss stick?,Eat it,Throw it,Burn it,Read it,C,,
"When added to a word, which letters mean ""the study of""?",*ism,*ulus,*hood,*ology,D,,
"When categorizing trees, what is the opposite of deciduous?",Perennial,Evergreen,Softwood,Hardwood,B,,
"When referring to time, the letters P.M. stand for post what?",Midnight,Meridiem,Midday,Mortem,B,,
"Which ""Peanuts"" cartoon character was in constant possession of a blanket?",Linus,Schroeder,Pigpen,Peppermint Patty,A,,
Which 1986 film centers on the Vietnam War and stars Charlie Sheen?,Company,Troop,Platoon,Squad,C,,
Which bird's pink plumage is derived from pigments in its food?,Macaw,Bullfinch,Flamingo,Pelican,C,,
Which British comedian was the controversial host of the 2020 Golden Globes ceremony?,Billy Connolly,Ricky Gervais,Sacha Baron Cohen,Russell Brand,B,,
Which car became known as a Tin Lizzie?,Austin Seven,Model T Ford,Volkswagen Beetle,Mini,B,,
Which character evolved from weak to tough in the hit series Breaking Bad?,Norman Bates,Raylan Givens,Mr. Big,Walter White,D,,
"Which character is played by Emma Watson in the ""Harry Potter"" films?",Harry,Hagrid,Hufflepuff,Hermione,D,,
Which chess piece can only move diagonally?,Bishop,Queen,Pawn,Castle,A,,
"Which classic film features the line ""Toto, I've got a feeling we're not in Kansas anymore""?",The Wizard of Oz,Mary Poppins,Dumbo,Casablanca,A,,
Which communication system uses two columns of three dots?,Morse,Semaphore,Esperanto,Braille,D,,
Which computer company was founded in 1976 by Steve Jobs and Steve Wozniak?,Dell,Apple,Hewlett Packard,IBM,B,,
Which country does not host a tennis Grand Slam tournament?,Italy,France,U.K.,U.S.,A,,
Which Disney film is set in China?,The Jungle Book,Mulan,Pinocchio,The Aristocats,B,,
Which document would be endorsed with a visa?,Tax return,Television licence,Passport,Birth certificate,C,,
Which element has the chemical symbol Pb?,Lead,Plutonium,Bismuth,Gold,A,,
"Which event do ""nuptials"" refer to?",Confirmation,Birthday,Graduation,Wedding,D,,
Which expression of approval is used in the NATO alphabet?,Yippee,Bravo,Yo,Encore,B,,
Which fictional character has been played on screen by Sean Connery and Roger Moore?,Lawrence of Arabia,James Bond,Indiana Jones,Batman,B,,
"Which film, released in Britain in 2002, starred Tom Cruise and Penelope Cruz?",Cinnamon Sky,Ginger Sky,Liquorice Sky,Vanilla Sky,D,,
Which French name is the equivalent of the English name Stephen?,Pierre,Jean,Etienne,Jacques,C,,
Which gas is used to make soft drinks fizzy?,Nitrogen,Chlorine,Helium,Carbon dioxide,D,,
"Which Hollywood legend was nicknamed ""The Duke""?",John Wayne,Humphrey Bogart,James Dean,Steve McQueen,A,,
Which horror film gave Jamie Lee Curtis her big break?,The Exorcist,The Shining,Friday the 13th,Halloween,D,,
Which is not an illegal punch in boxing?,Butt,Elbow,Jab,Palm,C,,
Which is the short sequence of letters and numbers at the end of a postal address?,Barcode,Lettercode,Postcode,Mailcode,C,,
"Which law states that if anything can go wrong, it will?",Parkinson's Law,Boyle's Law,Murphy's Law,Cole's Law,C,,
Which of Disney's seven dwarfs wears glasses?,Grumpy,Bashful,Doc,Happy,C,,
Which of the following are a pair of Disney cartoon characters?,Wedge an' Wood,Chip an' Dale,Will an' Morris,Hepple an' White,B,,
Which of the following was an activity practiced by medieval knights on horseback?,Jesting,Jousting,Jostling,Joisting,B,,
Which of these amounts is equal to a gross?,Three score,A ton and a half,A dozen dozen,Half a monkey,C,,
Which of these animals hoots?,Horse,Owl,Hen,Pig,B,,
Which of these are important film awards?,Joshuas,Finns,Oscars,Leos,C,,
Which of these colors does not appear on the flag of Germany?,Black,Blue,Gold,Red,B,,
"Which of these European terms does not translate into English as ""thank you""?",Danke,Merci,Per favore,Gracias,C,,
"Which of these films, featuring the music of the Beatles, is mainly an animation?",Magical Mystery Tour,Yellow Submarine,Help!,A Hard Day's Night,B,,
"Which of these grammatical terms refers to -ology and -itis, each added at the end of a word to create another word?",Infix,Prefix,Suffix,Appendix,C,,
Which of these grows down from the roof of a cave?,Stalactite,Stalagmite,Malachite,Malatite,A,,
"Which of these has windows, one opened on each day of the season after which it is named?",Chinese calendar,Roman calendar,Gregorian calendar,Advent calendar,D,,
"Which of these is a brief outline of the plot of a play, film or book?",Syllabus,Glossary,Anthology,Synopsis,D,,
Which of these is a croupier most likely to deal with in their job?,Cartwheel,Wheelbarrow,Roulette wheel,Steering wheel,C,,
Which of these is a device used with a computer to digitize artwork or photographs?,Scanner,Scoper,Zoomer,Pixellator,A,,
"Which of these is a film about a boy who can ""see dead people""?",The Sixth Sense,The Exorcist,The Omen,Poltergeist,A,,
Which of these is a Hindu spiritual teacher?,Gung-ho,Gundi,Gurkha,Guru,D,,
Which of these is a hoisting or lifting device?,Block & tackle,Block & scrum,Block & foul,Block & kick,A,,
Which of these is a name for a person who tells interesting and amusing stories?,Raconteur,Connoisseur,Masseur,Entrepreneur,A,,
Which of these is a name for the U.K. national flag?,Union Jack,Jolly Unity,Unified James,Universal John,A,,
Which of these is a pink dressing used on seafoods and salads?,Million Peak,Thousand Island,Hundred Reef,Dozen Bay,B,,
Which of these is a regulation requiring people to remain indoors at specific times?,Curfew,Embargo,Boycott,Veto,A,,
Which of these is a small stocky breed of horse?,Half horse,Quarter horse,Eighth horse,Sixteenth horse,B,,
Which of these is a spot on a potato where a root has yet to form?,Ear,Eye,Nose,Mouth,B,,
Which of these is a strong solution of salt and water?,Brinny,Brindle,Brinjal,Brine,D,,
Which of these is a traditional American baked good?,Hop-it wasp crumble,Get-off bee tart,Shoo-fly pie,Begone-bug cake,C,,
Which of these is a type of insect?,Aprilbeetle,Mayfly,Junewasp,Julybee,B,,
Which of these is an Australian Oscar-winning film star?,Kate Winslet,Kate Upton,Cate Blanchett,Katie Holmes,C,,
Which of these is an item of clothing?,Basque,Celt,Lapp,Slav,A,,
Which of these is another name for a robot?,Automat,Automaton,Autobahn,Autobiography,B,,
Which of these is both a fashion magazine and a Madonna single?,Harper's Bazaar,Vogue,Cosmopolitan,Elle,B,,
Which of these is correctly spelled?,Parralell,Paralell,Parralel,Parallel,D,,
Which of these is not a brand of sunglasses?,Ray-Ban,Oakley,Maui Jim,Ghirardelli,D,,
Which of these is not a corner space in the board game Monopoly?,Go,Free Parking,Go To Jail,Income Tax,D,,
Which of these is not a temperature scale?,Kelvin,Celsius,Beaufort,Fahrenheit,C,,
Which of these is ragtime music played on a tinny sounding piano?,Inky-dink,Honky-tonk,Plinky-plonk,Dinky-donk,B,,
Which of these is the correct spelling for a folk custom or ceremonial religious act?,Write,Wright,Rite,Right,C,,
Which of these is the hair obtained from angora goats?,Rohair,Bohair,Mohair,Sohair,C,,
Which of these is the name given to a person without professional or special knowledge in a particular subject?,Layman,Dayman,Wayman,Payman,A,,
Which of these is the name of a James Bond adversary whose bowler hat has a razor-sharp brim?,Oddjob,Oddfellow,Oddball,Oddman,A,,
Which of these is the name of a very wide angle camera lens?,Cat's eye,Birdseye,Dogeye,Fisheye,D,,
Which of these is the name of part of the human head?,Mosque,Synagogue,Church,Temple,D,,
Which of these languages is not an official language in Switzerland?,French,Italian,German,English,D,,
Which of these materials is most likely to be described as 'patent'?,Silk,Rubber,Wool,Leather,D,,
Which of these people would find perfect pitch most useful in their work?,Vet,Psychiatrist,Singer,Builder,C,,
Which of these phrases refers to a very large amount of money?,King's counsel,King's English,King's shilling,King's ransom,D,,
"Which of these refers to a type of improvised jazz singing, in which the voice imitates instruments?",Scamel,Scat,Scollie,Scrab,B,,
Which of these sports uses a ball?,Ice hockey,Squash,Badminton,Curling,B,,
Which of these Toms is not the name of a Hollywood actor?,Tom Hanks,Tom Wolfe,Tom Selleck,Tom Berenger,B,,
Which of these was a hit single in 2012 for Rihanna?,Pearls,Emeralds,Sapphires,Diamonds,D,,
Which of these words can mean fate or destiny?,Kitsch,Kibbutz,Kismet,Kimono,C,,
Which of these words comes first in a dictionary?,Door,Doom,Dozen,Doodle,D,,
Which of these words is used to describe the transmission of audio files from the internet?,Peacast,Pipcast,Podcast,Pearcast,C,,
Which of these words mean a street entertainer?,Bluster,Bolster,Boulder,Busker,D,,
Which of these words means a group of geese?,Gaggle,Goggle,Waggle,Woggle,A,,
Which of these words means assisting someone in a crime?,Arisking,Abetting,Agambling,Awagering,B,,
Which of these words often describes someone's rapid rise to fame?,Galactic,Lunar,Meteoric,Solar,C,,
Which of these words refers to throwing something overboard from a ship or airplane?,Garrison,Frisson,Jettison,Chanson,C,,
Which of these would be involved in a drag race?,Dog,Horse,Pigeon,Car,D,,
Which part of the body is most affected by a migraine?,Heart,Head,Kidney,Teeth,B,,
Which part of the body would be affected by a stye?,Wrist,Eye,Knee,Tooth,B,,
Which piece of equipment is essential for competitors in a Triathlon?,Horse,Bicycle,Canoe,Surfboard,B,,
Which poisonous gas has the formula CO?,Cobalt tetroxide,Chlorine oxide,Carbon monoxide,Calcium trioxide,C,,
Which sauce traditionally tops eggs Benedict?,Tartare,BÃ©arnaise,Hollandaise,Vinaigrette,C,,
Which self-congratulatory nursery-rhyme character pulled out a plum from a Christmas pie?,Jack Spratt,Little Jack Horner,Little Boy Blue,Little Miss Muffet,B,,
"Which singer is associated with ""Over the Rainbow,"" the song that made her famous?",Shirley Temple,Marlene Dietrich,Doris Day,Judy Garland,D,,
Which sitcom featured a coffee shop manager called Gunther?,Friends,Will and Grace,Frasier,Suddenly Susan,A,,
Which skater was allowed to compete in the 1994 Winter Olympics despite being implicated in an attack on one of her rivals?,Nancy Kerrigan,Tonya Harding,Katarina Witt,Tara Lipinski,B,,
Which sport is played by the Detroit Red Wings and the Buffalo Sabres?,Baseball,Basketball,Football,Hockey,D,,
Which symbol do pawnbrokers traditionally have hanging outside their shops?,Gold cross,Red light,Red and white pole,Three balls,D,,
Which title did Michael Jackson award himself in 1991?,Prince of Tunes,King of Pop,Earl of Funk,Vice Admiral of R 'n' B,B,,
Which war took place between 1939 and 1945?,Crimean War,Boer War,World War II,Vietnam War,C,,
"Which word do the British use for ""diaper""?",Scarf,Nappy,Tap,Jumper,B,,
"Which word goes after ""pound"" for the official name of the British unit of currency?",Sterling,Imperial,Royal,Mark,A,,
"Who did Brad Pitt marry on July 29th, 2000?",Angelina Jolie,Courteney Cox,Jennifer Aniston,Jennifer Garner,C,,
"Who directed the 1988 film ""Beetlejuice""?",Tim Curry,Tim Robbins,Tim Allen,Tim Burton,D,,
Who is actor Kate Hudson’s mother?,Goldie Hawn,Blythe Danner,Susan Sarandon,Diane Keaton,A,,
Who is normally referred to as a maitre d'?,Barman,Bellboy,Cellarman,Head waiter,D,,
Who is the female star of the 2001 film 'Moulin Rouge'?,Nicole Kidman,Cameron Diaz,Angelina Jolie,Gwyneth Paltrow,A,,
Who married Justin Timberlake in the fall of 2012?,Anne Hathaway,Amy Adams,Jennifer Garner,Jessica Biel,D,,
Who painted 'Guernica'?,Picasso,Dalí,Miró,Velázquez,A,,
"Who played the title role in the 2002 film ""Spider-Man""?",Brandon Routh,Andrew Garfield,Henry Cavill,Tobey Maguire,D,,
Who was New Zealand's first female PM?,Helen Clark,Jeanette Johns,Jenny Shipley,Kay Murray,C,,
"Who was popularly known as the ""Virgin Queen""?",Cleopatra,Madonna,Elizabeth I,Boudicca,C,,
Who was the dancing partner of Fred Astaire?,Baby Rogers,Sporty Rogers,Ginger Rogers,Posh Rogers,C,,
Who was the lead singer of the Supremes?,Diana Dors,Dyan Cannon,Diana Ross,Diane Keaton,C,,
"Who was told, ""Beware the Ides of March""?",Nero,Cleopatra,Julius Caesar,Pontius Pilate,C,,
Who were the sea-raiders of the 8th to 11th centuries that invaded and conquered many parts of Europe?,Maoris,Aborigines,Vikings,Mongols,C,,
"Whose life is charted in the film ""Great Balls of Fire""?",Johnny Cash,Jerry Lee Lewis,Bill Haley,Buddy Holly,B,,
With what type of music is the 'Black Dyke Mills' associated?,Opera,Northern soul,Brass band,Country and western,C,,
With which fashion designer is the brand Polo associated?,Marc Jacobs,Calvin Klein,Tommy Hilfiger,Ralph Lauren,D,,
With which field of entertainment is David Blaine most associated?,Magic,Ventriloquism,Rap music,Ballet,A,,
With which invention is the Italian engineer Marconi associated?,Nylon,Telephone,Jet engine,Radio,D,,
"With which singer do you associate 'Over the Rainbow', the song that made her famous?",Shirley Temple,Marlene Dietrich,Doris Day,Judy Garland,D,,
With which sport is Eddie Jordan most associated?,Motor racing,Boxing,Cricket,American football,A,,
With which sport is the Australian Shane Warne associated?,Tennis,Cricket,Australian rules football,Rugby union,B,,
Yom Kippur is an annual holiday in which religion?,Judaism,Catholicism,Buddhism,Hinduism,A,,
Which country does Greenland belong to?,Canada,Denmark,Iceland,Norway,B,,
What is the largest port in the world?,Le Havre,Amsterdam,Shanghai,Singapore,C,,
What is the smallest state in the world?,Luxembourg,The Vatican,Andorra,San Marino,B,,
What is the most populous metropolitan area in the world?,Beijing,Bombay,Tokyo,Moscow,C,,
Which river is the longest in Europe?,The Danube,The Rhine,The Belaîa,The Volga,D,,
Where are the temples of Angkor located?,Cambodia,Laos,Thailand,Vietnam,A,,
In which country did the Carnation Revolution take place?,Cuba,Mexico,Portugal,Spain,C,,
Which country is the largest producer of cocoa?,Ivory Coast,Ghana,Ecuador,Nigeria,A,,
From which country does Aleppo soap originate?,From Lebanon,From Syria,From Jordan,From Turkey,B,,
Which volcano buried the city of Pompeii?,Mount Etna,Mount Vesuvius,The Pacaya,Teide,B,,
In which ocean is the deepest oceanic trench located?,Arctic,Indian,Pacific,Atlantic,C,,
Which country cultivates the most olives in the world?,Tunisia,Italy,Spain,Greece,C,,
"Where is the Pink Lake, also known as Lake Retba, located?",Algeria,Morocco,Mauritania,Senegal,D,,
In which state is the Sistine Chapel located?,Turkey,Vatican,Spain,Albania,B,,
Where is Tasmania located?,Australia,Russia,Poland,United States,A,,
What is the official language of Angola?,English,Portuguese,The Spanish language.,French,B,,
What is the currency in Liechtenstein?,The Liechtenstein,The Euro,The Swiss Franc,The Liechtenstein Franc,C,,
How many stars are there on the flag of the United States?,48,49,50,51,C,,
Near which continent is São Tomé and Príncipe located?,Latin America,Africa,Oceania,Europe,B,,
Which tree is represented on the flag of Equatorial Guinea?,The Baobab tree,The Acacia tree,The Kapok tree,The Cashew Tree,C,,
What is the capital of Gambia?,Bamako,Banjul,Lomé,Dakar,B,,
Which gulf does not exist?,The Gulf of Thailand,The Gulf of Mexico,The Gulf of Eritrea,The Gulf of Finland,C,,
"What is the name of the open-world game released on Xbox 360, made by the creator of ""Grand Theft Auto""?",True Crime 2,Forza Horizon,Crackdown,Sleeping Dogs,C,,
"In which city does the action of the game ""Saints Row"" take place?",Millvalley,Bright Falls,Wintersprings,Stilwater,D,,
"Which game in the ""Halo"" series takes place chronologically just before the events of the first game ""Halo""?",Halo 3 : ODST,Halo Wars,Halo Wars 2,Halo : Reach,D,,
"Which city appears in every game in the ""Fable"" game?",Oakvale,Lychfield,Bloodstone,Bowerstone,D,,
"Which game from the ""Banjo-Kazooie"" series was released on Xbox 360?",Banjo-Kazooie : Nuts & Bolts,Banjo-Tooie,Banjo-Threeie,Yooka-Laylee,A,,
"Who was the leader of Delta-One squad before Marcus Fenix in the game ""Gears of War""?",Minh Young Kim,Dominic Santiago,Augustus Cole,Damon Braid,A,,
"What is the name of the protagonist of the game ""Quantum Break""?",Isaac Clarke,Jack Joyce,Nick Cutter,Michael Jon Carter,B,,
Which action game played with Kinect was available at the launch of the Xbox One console?,Crysis,Doom Eternal,Ryse : Son of Rome,Killing Floor,C,,
"What is the name of the starting village in the game ""Fable""?",Oakvale,Bowerstone,FairFax,Blancherive,A,,
"Which game from the ""Doom"" series was released on Xbox?",Doom,Doom 2,Doom 3,Doom Eternal,C,,
"Which game in the ""The Elder Scrolls"" series was released on Xbox in 2002?",Daggerfall,Morrowind,Oblivion,Skyrim,B,,
"Which car model is featured on every cover of each ""Project Gotham Racing"" game?",Mercedes,Lamborghini,Ferrari,Dodge Viper,C,,
"Which organization does the protagonist of the game ""Quantum Break"" have to face?",Cyberlife,Monarch Solutions,Tachyon Corps,Kairos Consolidated,B,,
Joe Nameth made his famous guarantee promising the Jets would beat what heavily favored team in Super Bowl 3?,New York Giants,New England Patriots,Baltimore Colts,Buffalo Bills,C,,
What football team won the first Super Bowl?,Green Bay Packers,Chicago Bears,Kansas City Chiefs,Pittsburgh Steelers,A,,
"What NBA great was known as the ""Black Mamba""?",Michael Jordan,Allen Iverson,Kobe Bryant,Shaquille O'Neal,C,,
What team has won the most Stanley Cups in a row with five?,New York Islanders,Edmonton Oilers,Montreal Canadiens,Detroit Red Wings,C,,
What city did the Atlanta Braves play in before moving to Atlanta?,Milwaukee,Los Angeles,New York,Miami,A,,
Who has thrown the most no-hitters in MLB history?,Sandy Koufax,Justin Verlander,Cy Young,Nolan Ryan,D,,
"What NFL franchise is the only team to have had a perfect season, winning every regular season and playoff game?",New England Patriots,Chicago Bears,New York Giants,Miami Dolphins,D,,
"What NFL team's fans are known as the ""Cheeseheads""?",Detroit Lions,Minnesota Vikings,Chicago Bears,Green Bay Packers,D,,
What baseball team has every single-digit number besides zero retired?,Los Angeles Dodgers,New York Yankees,New York Mets,Texas Rangers,B,,
Who won the first ever World Series in 1903?,New York Yankees,Boston Red Sox,Chicago Cubs,Pittsburgh Pirates,B,,
What baseball team had the longest drought ever between World Series Championships?,Boston Red Sox,Cleveland Indians,Chicago White Sox,Chicago Cubs,D,,
"Before moving to Arizona, the Coyotes were what professional hockey franchise that has since returned to the NHL?",Calgary Flames,Winnipeg Jets,Hartford Whalers,Quebec Nordiques,B,,
"Before moving to Indianapolis, what city did the NFL's Colts play in?",Nashville,Chicago,Boston,Baltimore,D,,
Who was the first president to take residency in the White House?,Andrew Jackson,Thomas Jefferson,John Adams,Benjamin Franklin,C,,
Which US president was a former governor of Texas?,Bill Clinton,James Madison,George W. Bush,Ulysses S. Grant,C,,
Which US president was responsible for the abolition of slavery in 1865?,Thomas Jefferson,Franklin D. Roosevelt,Andrew Johnson,Abraham Lincoln,D,,
Who was the first African American to run for president of the United States?,Frederick Douglass,Martin Luther King Jr.,Barack Obama,Jesse Jackson,A,,
Who was the president famous for crossing the Delaware River during the American Revolution?,James K. Polk,John Adams,George Washington,Thomas Jefferson,C,,
In which war did George H.W. Bush serve as a torpedo bomber pilot?,Gulf War,Cold War,World War II,Vietnam War,C,,
Richard Nixon was the first US president to...,...speak French,...visit all 50 states,...live in the White House,...hunt,B,,
Who became US president after the assassination of John F. Kennedy?,Woodrow Wilson,Gerald Ford,Lyndon B. Johnson,George Washington,C,,
What's the name of the US president's formal office in the White House?,The Round Office,The Square Office,The Triangle Office,The Oval Office,D,,
Which of these rooms does not exist in the White House?,The Orange Room,The Red Room,The Blue Room,The Green Room,A,,
Who was the final boss in the Mega Drive “The Smurfs” video game that was released in 1994?,A carnivorous plant,A fire-breathing dragon,A giant snake,Gargamel,D,,
In what year was Smurf creator Peyo born?,In 1923,In 1928,In 1933,In 1938,B,,
What is the Smurf amusement park in Shanghai called?,Dream City,The Little Town,Smurfs’ Land,The Smurf Experience,A,,
"In 2020, who paid tribute to the Smurfs and to Peyo’s work through a collection of coins?",The French Coin Society,The Belgian Royal Mint,The Parisian Mint,The Currency Counter,C,,
In what movie does the eponymous character develop theories with his friends about the Smurfs?,Forrest Gump,Donnie Darko,Harry P. and the Chamber of Secrets,X-Men Origins: Wolverine,B,,
What Smurf comic book was published in a deluxe edition by Le Lombard?,King Smurf,Astro Smurf,The Flight of the Storks,Finance Smurf,D,,
What is the purpose of Papa Smurf’s “ABRACADADACARBAPAPA” spell?,To change physical appearance,To teleport if suddenly threatened,To make a beard grow all of a sudden,Fill up the Smurf storeroom with food,A,,
In which French movie can Smurf upholstery be seen in the protagonist’s room?,Amélie,La Femme Nikita,Tatie Danielle,Blue Is the Warmest Color,C,,
Who had the idea for the Smurf’s blue skin?,"Véronique, Peyo’s daughter","Nine, Peyo’s wife",The Dupuis publisher,André Franquin,B,,
"In the Hanna-Barbera TV series, who becomes Handy Smurf’s love interest?",Smurfette,Marina the Mermaid,"Melusine, the fairy of the woods",Hogatha the Witch,B,,
"What is the world record for people dressed up as Smurfs, certified by the Guinness Book of World Records?","2,510 people in Wales","2,860 people in Milan, Italy","3,500 people in Landerneau, France","4,320 people in Brussels, Belgium",C,,
Who devoted several pages to the Smurf language in his book “Kant and the Platypus”?,Jan Potocki,Elisabetta Rasy,Italo Svevo,Umberto Eco,D,,
"What is the name of the city where the action of the game ""Bloodborne"" takes place?",New Londo,Anor Londo,Yharnam,Majula,C,,
"On what console was the game ""PaRappa the Rapper"" released?",PlayStation®,PlayStation®2,PlayStation®3,PlayStation®4,A,,
"Which of the following game series is not represented in the game ""PlayStation® All-Stars Battle Royale""?",God of War,inFamous,Jak & Daxter,Ghost of Tsushima,D,,
What was the first PlayStation® console to have a built-in hard drive?,PlayStation®,PlayStation®2,PlayStation®3,PlayStation®4,C,,
"Which actor lent their features to the protagonist of the game ""Death Stranding""?",Brad Pitt,Norman Reedus,Kit Harrington,Jason Statham,B,,
What was the name of the successful range of games reissued on PlayStation® consoles up to the PlayStation®3 console?,Classics,Platinum,Hot Sales,Sony Success,B,,
"Which character do you play as in the game ""The Last of Us: Left Behind""?",Joel,Tess,Ellie,Nathan,C,,
"What is the name of the terrorist cell that Solid Snake confronts in ""Metal Gear Solid""?",Dead Cell,The Cobras,Foxhound,The Mad Sons,C,,
What species does Ratchet belong to?,Lombax,Fenneck,Korugarien,Zabrak,A,,
"In which game in the ""God of War"" series does the Blade of Olympus make its appearance?",God of War,God of War 2,God of War : Chains of Olympus,God of War 3,B,,
"How many colossi must be faced during the game ""Shadow of the Colossus""?",8,12,16,24,C,,
Which game developed by Fumito Ueda was released on the PlayStation®2 console in 2001?,Ico,Shadow of Memories,Orphen,Katamari Damacy,A,,
"What is the DLC of the game ""The Last of Us"" called?",First of Us,All of Us,Left Behind,First Departure,C,,
Which one of these series has not been developed by the studio Naughty Dog?,Ratchet & Clank,Uncharted,The Last of Us,Jak & Daxter,A,,
"In which city does the action of the game ""The Last of Us Part 2"" begin?",Jackson,Salt Lake City,Bâton Rouge,Pasadena,A,,
"What is the name of Ratchet's home planet in the ""Ratchet & Clank"" game series?",Veldin,Yavin,Loomy,Voltaria,A,,
What question keeps Captain Haddock awake at night?,The chicken or the egg,To be or not to be,The beard under or over the blanket,Tea or coffee,C,,
For which newspaper is Tintin a reporter?,Le Petit Vingtième,Gala,Le Figaro,Le Nouvel Obs,A,,
"On the cover of ""The Seven Crystal Balls,"" which character is levitating?",Tintin,Rascar Capac,Captain Haddock,Professor Calculus,D,,
In which theater did Castafiore's performance earn her fifteen encores?,The Palais Garnier Opera,The MET,La Scala opera house in Milan,The Sydney Opera,C,,
What is Castafiore's first name?,Carmen,Rosa,Violetta,Bianca,D,,
How many Tintin albums are there?,15,24,42,60,B,,
"Which iconic Tintin character first appears in ""Red Rackham's Treasure""?",Professor Calculus,Captain Haddock,Snowy,General Tapioca,A,,
"In ""The Calculus Affair,"" why do the Bordurians want to seize Professor Calculus' ultrasonic device?",To deafen their enemies,To organize an outdoor concert,For its destructive power,To chase all dogs from the territory,C,,
"What drawing technique, also called ""Tintin style,"" characterizes Hergé's line?",The clear line,The chiaroscuro,The white line,The frank line,A,,
Which Tintin adventure marks the appearance of Captain Haddock?,"""The Secret of the Unicorn""","""The Crab with the Golden Claws""","""The Black Island""","""Destination Moon""",B,,
What other famous duo is Hergé the creator of?,Spiff & Hercules,Billy & Buddy,Asterix & Obelix,Quick & Flupke,D,,
What was Hergé's real name?,Georges Remi,Hervé Gérard,Rodolphe Grüss,Hans Gruber,A,,
"In Syldavia, what stolen object jeopardizes the reign of Muskar XII?",The royal crown,The royal sceptre,The princely carriage,The Queen's Ferrets,B,,
"The original Four Horsemen featured Arn Anderson, Tully Blanchard, Ole Anderson, and who?",Triple-H,Jim Crockett,Ric Flair,Bret Hart,C,,
"In WWE, who is the Undertaker's fictitious half-brother?",Kane,Gangrel,Triple-H,Steve Austin,A,,
What WWE wrestler has the longest Intercontinental Championship reign at 454 days?,Apollo Crews,The Miz,Chris Jericho,The Honky Tonk Man,D,,
"When Triple-H and Stone Cold Steve Austin became a tag team in 2001, what were they often referred to as?",The Corporation,The Two-Man Power Trip,The Brothers of Destruction,The Headshrinkers,B,,
"Ted DiBiase never officially held the WWE Championship, but he briefly bought it off another legend for a time. Who sold it to Ted?",The Ultimate Warrior,Virgil,Diesel,Andre the Giant,D,,
What do the three H's in wrestler Triple-H's name stand for?,Hungry Hungry Hippos,Hunter Hearst Helmsley,Harry Henry Henderson,Harley Harvey Hayes,B,,
Which of these were NOT nicknames of Shawn Michaels?,Mr. Wrestlemania,The Heartbreak Kid,The Showstopper,The Texas Rattlesnake,D,,
What WWE wrestler was famously thrown off the top of a steel cage by the Undertaker at King of the Ring 1998?,Shane McMahon,Mankind,Kane,Triple-H,B,,
"Wrestling legend Jerry ""The King"" Lawler infamously feuded with what ""Taxi"" comedian in the early 80s?",Tony Danza,Andy Kaufman,Danny DeVito,Marilu Henner,B,,
"At Bash at the Beach in 1996, who was revealed to be the ""third man"" to join Kevin Hall and Scott Nash to form the first iteration of the nWo?",Arn Anderson,Ric Flair,Hulk Hogan,Bret Hart,C,,
Which two actresses have played in the most films by Hitchcock?,Ingrid Bergman and Tippi Hedren,Ingrid Bergman and Grace Kelly,Grace Kelly and Joan Fontaine,Vera Miles and Joan Fontaine,B,,
Which actress has never acted in Hitchcock's films?,Grace Kelly,Janet Leigh,Shirley MacLaine,Marylin Monroe,D,,
"What do the two protagonists of ""Strangers on a Train"" exchange?",Their memories,Their murder plans,Their weapons,Their partners,B,,
What was the name of Hitchcock's weekly TV series?,"""The Stories of Uncle Alfred""","""Small Chronicles of Horror""","""Suspense and thrills""","""Alfred Hitchcock Presents""",D,,
Which member of Hitchcock's family has appeared in some of his films?,His mother-in-law,His son,His daughter,His cat,C,,
"What is chasing Cary Grant in ""North by Northwest""?",A shark,An airplane,A fan,A helicopter,B,,
"Which actress plays in ""The Birds""?",Grace Kelly,Ingrid Bergman,Tippi Hedren,Eva Marie Saint,C,,
How many children did Hitchcock have?,"Two boys, one girl",A boy,A girl,He did not have any children,C,,
"What is the age difference between Cary Grant and Jessie Royce Landis, who plays his mother in ""North by Northwest""?",He is twenty years younger than her,He is seven years younger than her,They are the same age,She is one year younger,B,,
"During the promotion of which of her films did Grace Kelly meet her future husband, Prince Rainier?","""Rear Window""","""To Catch a Thief""","""Dial M for Murder""","""Vertigo""",B,,
"In which other horror film do we find the surname ""Loomis"" worn by one of the characters from ""Psycho""?","""Friday the 13th""","""Suspiria""","""Halloween""","""The Texas Chain Saw Massacre""",C,,
"What is the ""Golden Hitchcock""?",The British Academy Film Grand Award,This award does not exist,The award of the Utrecht Festival,The Award of the Dinard Film Festival,D,,
"What is the name of the club where Sally Bowles performs in Bob Fosse's ""Cabaret""?",The Bounty Club,The Nuts Club,The Lion Club,The Kit Kat Club,D,,
"What organization are the mice from Disney's ""The Rescuers""?",The Friendship Aid Society,The Rescue Aid Society,The Animal Aid Society,The Child Aid Society,B,,
"What dangerous practice do the soldiers in ""The Deer Hunter"" engage in?",Bungee jumping,Taming of wild animals,Blackout challenge,Russian Roulette,D,,
"In which city does Travis Bickle drive in, in Martin Scorsese's ""Taxi Driver""?",Chicago,New York,Los Angeles,Boston,B,,
"Who plays ""Papillon"" in William J. Schaffner's film?",Steve McQueen,Robert Redford,Paul Newman,Clint Eastwood,A,,
"What is the name of the head nurse in ""One Flew Over the Cuckoo's Nest"" ?",Ratched,Wilkes,Bates,Lecter,A,,
"With what object do the prisoners dig the wall of their prison in ""Escape from Alcatraz""?",A fork,A screwdriver,A knife,A spoon,D,,
